Gender,Height,Weight,Muscle,Brain
Male,165.7,59.89,87.81713,188.7496495
Male,163.96,78.33,94.85763,199.988916
Male,179,61.11,91.86477,195.2376035
Female,165.85,53.76,85.36227,184.7783951
Female,155.24,80.46,93.3963,197.6737393
Female,159.07,71.68,90.84545,193.6105905
Female,147.64,62.48,84.04924,182.6425942
Female,156.37,86.07,95.98128,201.7630466
Male,168.14,88.04,99.92566,207.9502722
Male,156.84,83.14,94.91426,200.0784543
Male,187.53,78.35,101.15896,209.8722366
Male,190.75,71.14,99.08423,206.6355917
Male,174.11,88.22,101.59291,210.547105
Female,154.95,73.53,90.49836,193.0555342
Male,175.71,64.29,92.2806,195.900043
Female,159.27,70.23,90.3087,192.7520107
Female,149.4,63.92,85.10524,184.3609552
Male,181.4,65.29,94.20683,198.9589667
Male,169.6,60.53,89.11891,190.8442694
Male,162.59,111.01,107.7926,220.1118554
Male,177.99,66,93.58533,197.9737257
Female,147.03,74.86,88.92503,190.5327954
Female,155.17,56.83,83.7602,182.1713192
Female,158.12,58.54,85.24382,184.5860607
Female,153.5,58.89,84.15273,182.8112344
Male,153.12,76.97,91.40983,194.5120003
Male,161,72.74,91.79218,195.1218869
Male,175.14,78.87,98.06247,205.0353978
Female,154.3,80.71,93.24707,197.4368074
Female,150.76,81.39,92.57865,196.3743935
Male,189.32,102.21,111.34791,225.5346512
Male,170.51,94.81,103.31384,213.2163978
Male,190.74,76.88,101.41774,210.2747718
Female,146.94,46.75,77.46023,171.7951151
Female,148.43,44.27,76.8487,170.7768969
Female,147.31,64.52,84.79141,183.8508394
Female,141.6,82.94,90.76378,193.4800339
Male,172.54,76.4,96.36298,202.364529
Male,165.25,71.07,92.24724,195.8469263
Male,183.89,102.83,110.15044,223.7130925
Female,140.75,52.53,78.15996,172.9577275
Female,151.89,75.1,90.32033,192.7706274
Female,139.26,57.12,79.63026,175.3922197
Female,171.68,41.78,82.04302,179.3630386
Male,184.74,63.43,94.34159,199.1723821
Male,159.67,39.85,78.05084,172.7765947
Female,136.21,60.32,80.11831,176.1978314
Female,143.93,46.96,76.74203,170.5990806
Male,176.67,75.08,96.92845,203.2545026
Male,163.07,81.95,96.09334,201.9396925
Female,140.94,61.15,81.71903,178.831544
Female,138.44,72.88,85.82564,185.530157
Female,137.87,66.45,83.05644,181.0221456
Female,161.59,48.1,81.92123,179.1633079
Female,143.24,56.04,80.25336,176.420538
Male,153.84,81.33,93.37659,197.6424512
Male,175.94,67.79,93.76651,198.2611121
Male,170.48,89.69,101.22199,209.9703042
Male,182.99,52.7,89.50723,191.4676081
Male,151.8,57.08,82.96216,180.8680108
Female,171.97,50.98,85.86485,185.5937238
Female,159.09,61.95,86.89068,187.2542231
Male,153.81,86.79,95.5908,201.1471096
Male,163.31,59.42,86.98771,187.41103
Male,168.75,108.43,108.38726,221.021948
Male,158.8,36.87,76.60569,170.3717152
Male,176.33,91.3,103.43921,213.4104199
Male,164.22,94.48,101.5001,210.4028299
Male,179.14,83.67,101.08407,209.7556964
Male,154.26,81.67,93.62711,198.0400091
Female,153.82,58.05,83.89629,182.3932623
Female,156.08,39.52,76.958,170.9590334
Female,157.08,39.56,77.24128,171.4307877
Female,154.24,65.25,86.93883,187.3320422
Male,161.01,57.95,85.77532,185.4485681
Female,145.98,62.41,83.57753,181.8732691
Female,149.75,65.69,85.91908,185.681629
Female,131.1,48.25,73.84145,165.7398289
Female,153.05,45.56,78.60727,173.6995764
Female,172.37,97.62,104.95413,215.7502829
Female,146.16,55.88,80.96788,177.597276
Female,155.3,69.28,88.86206,190.4315958
Female,161.26,59.2,86.35082,186.3809726
Male,184.6,79.95,101.02785,209.6681953
Male,174.7,91.61,103.13017,212.9320446
Male,152.33,65.35,86.46956,186.5731573
Female,140.53,68.34,84.53589,183.435155
Female,151.09,72.36,88.99155,190.6396809
Male,183.01,62.01,93.30174,197.5236178
Male,181.12,75.36,98.23056,205.2989315
Male,169.18,46.52,83.3047,181.4278076
Male,187.52,75.56,100.02076,208.0986854
Female,148.51,60.02,83.28031,181.3879673
Female,169.08,80.27,97.01425,203.3894266
Female,110.81,80.53,81.56198,178.5737193
Female,141.09,37.78,72.24749,163.0492467
Female,157.8,52.59,82.73673,180.499286
Female,132.22,74.22,84.71028,183.7188897
Female,182.56,41.93,85.00903,184.2046205
Male,169.11,65.72,91.10041,194.0179773
Male,158.21,63.66,87.35169,187.9988566
Male,172.73,93.31,103.29608,213.1889078
Male,177.5,64.77,92.95389,196.9710504
Female,158.79,68.02,89.28107,191.1046541
Female,152.65,69.14,88.09753,189.2014774
Male,185.58,64.29,94.91589,200.0810313
Female,146.41,75.92,89.19091,190.9598964
Female,160.85,58.64,86.01343,185.8345344
Female,153.66,59.28,84.35418,183.1393549
Female,126.92,66.71,80.23861,176.3962189
Male,163.05,53.67,84.57804,183.503747
Male,184.15,59.24,92.47873,196.2154121
Female,146.01,54.24,80.26035,176.4320625
Female,156.5,54.68,83.24026,181.3225404
Male,187.96,64.63,95.68973,201.3032196
Female,155.18,67.45,88.08521,189.1816329
Female,143.41,65.98,84.34433,183.1233159
Male,179.58,87.84,102.89874,212.5735702
Male,184,62.46,93.74922,198.2336928
Male,186.31,67.29,96.3318,202.315418
Male,185.85,80.42,101.55289,210.4848971
Male,170.72,58.94,88.77082,190.2849313
Female,140.86,58.8,80.74122,177.2242734
Female,140.3,55.31,79.17127,174.6334496
Female,143.47,58.03,81.1247,177.8551937
Male,146.13,58.46,82.00993,179.3087797
Male,173.27,92.95,103.29374,213.1852857
Female,158.03,71.42,90.46195,192.9972776
Male,159.95,57.91,85.47602,184.963035
Male,169.88,97.47,104.22825,214.6301893
Male,152.08,77.75,91.44961,194.5754831
Male,178,76.26,97.76382,204.5668916
Female,142.37,57.97,80.80658,177.3318598
Female,158.06,61.7,86.51392,186.6449385
Male,171.2,69.52,93.20504,197.3700595
Male,173.91,86.33,100.77028,209.2671564
Male,164.75,73.36,93.04577,197.117054
Female,131.18,78.22,86.0606,185.9109633
Female,146.41,70.16,86.84659,187.1829563
Female,142.98,49.72,77.6117,172.0470068
Female,154.81,87.17,96.01246,201.8122024
Female,135.19,54.28,77.38769,171.6744389
Male,177.56,58.18,90.28778,192.7185215
Female,135.67,75.47,86.14018,186.039882
Female,152.16,69.69,88.19055,189.3512875
Male,175.17,70.73,94.7575,199.8305666
Male,179.54,64.94,93.56776,197.9458489
Male,166.9,87.86,99.52132,207.3188637
Male,181.71,85.89,102.6738,212.2249553
Female,143.75,68.4,85.42005,184.8721918
Female,145.65,48.34,77.76293,172.2983768
Female,146.47,53.41,80.04536,176.0774928
Female,144.85,71.17,86.84114,187.1741463
Male,158.77,80.93,94.5301,199.470792
Male,183.28,73.21,97.93223,204.8311281
Female,149.47,76.71,90.32946,192.7852418
Female,149.86,43.75,77.01887,171.0604385
Female,142.25,64.26,83.33457,181.4765955
Male,174.77,75.83,96.7264,202.9366525
Male,168.92,60.85,89.06759,190.7618388
Female,146.09,81.58,91.40909,194.5108193
Female,129.07,62.75,79.20094,174.6825311
Female,157.75,67.06,88.61267,190.0306225
Male,179.77,100.86,108.24861,220.809864
Male,166.64,75,94.21788,198.9764692
Male,176.85,94.72,104.96999,215.7747345
Male,177.26,75.32,97.18366,203.6557433
Male,162.92,68.25,90.47739,193.0219826
Female,134.49,70.15,83.65988,182.0076541
Female,154.64,84.86,95.0269,200.256511
Female,157.19,59.4,85.34553,184.7512174
Male,163.08,72.81,92.37603,196.0519627
Female,153.35,71.34,89.17983,190.9421042
Male,156.75,78.53,93.01396,197.0665098
Male,176.93,58.26,90.15213,192.5013228
Male,168.36,44.6,82.30432,179.7913103
Male,160.58,76.69,93.28769,197.501309
Female,153.54,48.62,79.98352,175.9754599
Female,173.22,60.05,89.89009,192.0815208
Female,169.35,29.48,76.41481,170.0532268
Male,169.98,54.58,86.79872,187.1055693
Male,173.67,83.75,99.65614,207.5294668
Male,159.18,63.56,87.56998,188.3511005
Female,150.21,63.15,85.00812,184.2031416
Female,145.25,57.86,81.53077,178.5224679
Female,165.26,62.84,88.9003,190.4930538
Female,144.22,40.09,74.02337,166.0459793
Female,167.08,43.74,81.61254,178.6567358
Female,151.54,64.58,85.94524,185.7240286
Female,151,58.31,83.24917,181.3370967
Male,169.78,92.55,102.19911,211.4886473
Male,171.48,40.97,81.65995,178.7345686
Male,170.06,64.39,90.81275,193.5583202
Male,156.45,79.48,93.32051,197.5534197
Male,178.37,89.41,103.21466,213.0628656
Female,164.6,66.9,90.3765,192.8605331
Female,156.93,72.25,90.50606,193.0678536
Male,179.43,101.72,108.50785,221.2063516
Male,148.56,88.7,94.96642,200.1609133
Male,158.22,101.08,102.5843,212.086194
Female,146.44,48.99,78.23841,173.0879108
Female,150.67,58.18,83.10815,181.1066658
Female,141.97,33.68,70.81375,160.6164117
Female,133.53,58.18,78.53177,173.5744363
Male,156.53,58.97,84.9943,184.1806813
Male,175.22,78.74,98.03092,204.9859207
Male,170.04,64.46,90.8359,193.5953255
Male,170.48,99.23,105.10477,215.98249
Male,167.44,63.57,89.77947,191.9042098
Male,182.78,74.66,98.38888,205.5470446
Female,153.69,44.64,78.40371,173.3621101
Female,153.16,39,75.96672,169.304794
Female,153.21,51.57,81.09606,177.8080996
Male,176.83,74.99,96.93454,203.2640803
Male,173.51,81.52,98.70581,206.0434256
Male,164.56,90.58,100.00358,208.0718769
Male,152.94,76.49,91.16641,194.1233887
Female,144.32,57.76,81.24176,178.0476379
Female,161.08,57.67,85.68005,185.2940644
Female,160.09,66.63,89.06244,190.7535662
Female,152.61,52.5,81.31437,178.1669725
Male,190.99,73.92,100.27977,208.5027181
Male,174.22,81.02,98.69188,206.0216166
Male,169.95,99.77,105.18304,216.103108
Male,175.99,86.24,101.28901,210.074563
Male,177.47,104.04,108.92877,221.8496122
Male,177.29,65.14,93.04841,197.1212486
Female,146.52,60.22,82.83038,180.6524952
Female,148.4,52.44,80.16588,176.2762883
Female,160.24,57.51,85.39065,184.8244675
Male,166.54,69.98,92.14804,195.688949
Male,167.28,82.38,97.39242,203.9837596
Male,177.36,66.09,93.45375,197.7649272
Female,148.54,92.81,96.63385,202.7910043
Female,125.81,76.33,83.85758,182.3301411
Female,146.15,59.21,82.32052,179.8178509
Female,142.74,74.35,87.57203,188.3544074
Female,134.98,51.96,76.38738,170.0074428
Male,164.7,63.32,88.94614,190.5667175
Male,157.07,61.64,86.22517,186.1775318
Male,161.74,76.15,93.37763,197.6441022
Female,153.11,81.39,93.2061,197.3717429
Female,167.43,55.59,86.52894,186.669241
Male,174.61,99.74,106.41505,217.9987554
Male,168.45,96.57,103.48014,213.4737503
Male,179.37,84.29,101.39782,210.2437952
Male,178.5,90.38,103.64416,213.7274731
Male,160.86,82.68,95.80038,201.4777758
Female,139.55,70.5,85.15335,184.4391141
Female,164.1,71.74,92.21288,195.7922123
Female,135.02,67.43,82.69435,180.4299391
Female,139.03,71.68,85.49477,184.9934643
Female,138.17,48.11,75.67216,168.812197
Male,172.69,47.27,84.54712,183.4534308
Male,151.25,85.99,94.58168,199.5524168
Male,157.14,98.12,101.09122,209.7668238
Female,154.47,65.7,87.18339,187.7271289
Female,149.21,91.41,96.24294,202.1754344
Female,173.12,58.35,89.17149,190.9287115
Female,149.27,62.62,84.54143,183.4441709
Female,154.04,54.61,82.55495,180.2017744
Male,168.04,71.9,93.32998,197.568455
Male,176.36,95.94,105.3357,216.3383003
Male,165.27,58.08,86.96565,187.3753834
Male,184.18,63.08,94.04962,198.7099014
Female,156.65,64.97,87.46834,188.1871163
Female,148.33,65.21,85.34458,184.749675
Female,156.7,67.25,88.40965,189.7039953
Male,200.42,92.09,110.19277,223.7775679
Male,148.56,81.62,92.08486,195.5883118
Male,165.59,33.18,76.91679,170.890369
Female,158.91,67.66,89.16659,190.9208428
Female,156.35,57.66,84.41307,183.2352376
Female,161.06,52.13,83.41993,181.6159931
Female,159.08,70.6,90.40856,192.9118421
Female,157.87,85.82,96.28003,202.2338672
Male,178.2,71.57,95.90839,201.6481187
Male,179.05,90.25,103.7381,213.8727438
Male,175.28,57.98,89.59762,191.6126068
Male,171.21,74.94,95.41365,200.8674686
Male,176.12,69.91,94.67741,199.7038791
Male,155.43,97.98,100.57767,208.9670934
Male,155.9,61.72,85.94534,185.7241907
Female,147.82,54.45,80.82909,177.3689075
Female,134.01,65.26,81.54149,178.5400723
Female,141.45,62.94,82.58373,180.2488883
Female,131.12,62.81,79.77271,175.6274855
Female,140.01,84.12,90.81951,193.5691263
Female,150.52,74.49,89.70627,191.7868488
Male,158.61,88.82,97.69861,204.4645461
Male,163.3,104.58,105.36516,216.3836774
Male,140.79,62.45,82.20808,179.6336122
Male,176,98.52,106.28964,217.8060436
Female,159.88,75.61,92.66123,196.5057531
Male,175.4,76.57,97.19579,203.6748075
Male,160.34,76.06,92.9672,196.9922031
Male,190.94,55.79,92.88751,196.8655456
Male,167.89,88.86,100.19265,208.3668478
Male,177.36,73.7,96.55102,202.6606231
Male,168.78,68.27,92.05015,195.5330162
Male,171.76,90.23,101.78353,210.8433246
Female,141.4,68.61,84.87807,183.9917482
Female,137.42,53.22,77.55168,171.9472094
Female,161.96,70.54,91.1531,194.1021323
Male,165.13,55.05,85.69506,185.3184096
Male,171.13,77.79,96.55224,202.6625437
Female,158.79,66.75,88.76418,190.2742563
Female,157.47,62.17,86.54768,186.6995611
Female,155.13,51.06,81.40113,178.3095276
Female,162.11,56.35,85.41782,184.868572
Female,157.3,58.24,84.90278,184.03192
Female,139.14,51.78,77.42484,171.7362445
Male,175.67,71.64,95.26137,200.6269825
Male,173.34,72.93,95.16429,200.4736201
Female,145.49,43.44,75.72591,168.9021196
Female,156.48,64,87.02816,187.476387
Female,146.23,81.8,91.53601,194.7133404
Female,132.76,66.2,81.59032,178.6202535
Female,142.25,83.66,91.23037,194.2255237
Male,178.77,65.28,93.50055,197.8392005
Male,165.1,47.33,82.54501,180.1855013
Male,166.56,62.39,89.06425,190.7564736
Male,163.21,87.84,98.52795,205.7649074
Male,143.55,88,93.34385,197.5904754
Female,141.05,66.76,84.03167,182.6139582
Female,137.27,60.2,80.35249,176.5839505
Male,161.47,67.03,89.5937,191.6063193
Male,179.57,80.47,99.89648,207.9047267
Male,177.22,63.66,92.42736,196.1336612
Male,153.93,72.61,89.85158,192.0197999
Female,160.53,63.31,87.82868,188.7682679
Female,148.88,81.01,91.92203,195.3288662
Female,164.37,71.42,92.15473,195.6996042
Male,175.62,83.99,100.27447,208.4944532
Male,178.62,80.94,99.83412,207.8073813
Male,174.33,91.15,102.84416,212.488999
Male,180.87,75.98,98.41615,205.589771
Female,152.29,49.65,80.06898,176.1164595
Female,151.43,62.83,85.20362,184.5207704
Female,152.28,77.08,91.23032,194.2254439
Female,154.66,48.5,80.23372,176.3881562
Female,158.65,80.3,94.24165,199.0141174
Female,139.12,57.1,79.58474,175.3170181
Male,157.23,69.38,89.41807,191.3245467
Female,155.66,68.18,88.51048,189.8662383
Female,144.51,72.26,87.19399,187.7442469
Female,147.57,64.44,84.82827,183.910778
Female,139.96,71,85.46632,184.9472923
Female,143.17,81.15,90.45444,192.9852607
Female,144.28,59.36,81.88228,179.0994158
Male,169.95,81.65,97.8082,204.6365352
Male,179.4,89.32,103.45304,213.4318196
Male,178.54,75.1,97.43588,204.0520245
Female,144.06,81.77,90.94441,193.7687472
Female,137.69,60.13,80.43614,176.7218056
Female,158.6,64.21,87.67967,188.528019
Male,156.95,80.99,94.06858,198.739945
Male,200.45,98.51,112.81372,227.7577502
Male,167.42,63.36,89.68866,191.7586112
Female,157.52,62.54,86.71162,186.9647353
Female,158.89,65.87,88.43272,189.7411207
Female,172.14,95.25,103.92813,214.1665096
Male,148.35,70.62,87.55179,188.3217565
Male,169.72,71.49,93.61167,198.0155146
Male,153.64,70.97,89.10667,190.8246105
Male,156.82,61.65,86.16249,186.0760185
Male,171.01,100.84,105.90155,217.2093228
Male,186.56,72.53,98.53123,205.7700449
Female,154.46,43.66,78.21044,173.0414999
Female,149.23,62.44,84.45749,183.3075496
Female,159.53,52.87,83.3126,181.4407114
Female,149.31,76.89,90.36,192.8341247
Female,150.38,54.96,81.72018,178.8334315
Female,144.03,60.84,82.41789,179.9773459
Female,172.25,55.1,87.61645,188.4260585
Male,166.83,86.57,98.9776,206.4687903
Male,146.97,74.75,88.86424,190.4350996
Male,152.16,85.93,94.80023,199.8981465
Female,146.02,43.19,75.76567,168.968627
Female,150.02,59.61,83.51661,181.7738339
Male,162.93,88.16,98.58343,205.8517993
Male,164.99,93.5,101.30683,210.1022816
Male,182.54,91.86,105.3252,216.3221265
Female,147.14,45.38,76.95604,170.9557678
Male,167.13,56.11,86.66048,186.8820295
Male,162.45,64.92,88.99659,190.6477784
Male,181.2,22.4,76.6972,170.5243317
Male,164.56,51.84,84.2364,182.9475394
Male,175.5,64.03,92.11871,195.6422324
Female,160.82,50.22,82.57848,180.2402942
Female,154.26,70.04,88.8937,190.4824469
Male,180.82,98.12,107.41378,219.531439
Male,174.52,93.17,103.71703,213.8401636
Male,175.03,58.02,89.54715,191.5316501
Male,182.38,74.65,98.27801,205.3733038
Female,144.68,47.65,77.22311,171.4005417
Female,157.93,47.64,80.75679,177.2499045
Female,157.05,70.48,89.81771,191.9655103
Female,149.59,61.75,84.27278,183.0067947
Male,176.79,71.89,95.66216,201.2597186
Male,163.76,75.8,93.77452,198.2738143
Female,171.1,69.22,93.05624,197.1336892
Female,126.97,67,80.36999,176.6127935
Male,170.17,80.69,97.47622,204.1153818
Male,160.86,58.8,86.08122,185.9443703
Female,134.74,70.74,83.96676,182.5081533
Female,162.13,59.92,86.87615,187.2307379
Female,132.1,54.17,76.51789,170.2252432
Female,134.44,25.5,65.47398,151.4444213
Female,122.5,45.81,70.55217,160.1712283
Female,137.74,64.94,82.40716,179.9597721
Male,166.3,67.96,91.26182,194.2757384
Female,154.05,68.43,88.18236,189.3380989
Male,158.69,72.18,90.94749,193.773669
Male,163.26,60.35,87.35287,188.0007613
Male,163.23,48.66,82.58703,180.2542903
Male,164.57,92.37,100.73478,209.2118625
Male,188.35,74.13,99.66036,207.5360577
Male,173.27,80.98,98.42195,205.598858
Female,159.88,53.42,83.6299,181.9587343
Female,165.01,62.52,88.70331,190.1763875
Female,160.78,81.59,95.33539,200.7438896
Female,147.37,48.37,78.23438,173.0812241
Male,177.71,70.76,95.44789,200.9215284
Male,164.29,63.88,89.06459,190.7570198
Male,171.62,57.53,88.43725,189.7484103
Male,183.78,79.9,100.78856,209.295627
Male,170.37,78.66,96.70341,202.9004758
Female,153.69,67.01,87.5083,188.2515927
Female,145.97,60.17,82.66318,180.3789295
Female,137.34,60.01,80.29385,176.4872906
Female,146.9,60.19,82.91963,180.7984657
Female,166.05,58.08,87.17391,187.7118191
Male,185.04,83.9,102.75298,212.3476913
Female,138.42,56.33,79.08445,174.4898013
Male,160.21,60.27,86.50596,186.6320587
Male,176.58,91.75,103.68911,213.7969888
Male,164.82,46.78,82.2464,179.6964085
Female,142.81,60.23,81.84388,179.0364185
Female,154.99,60.83,85.34014,184.7424664
Female,155.62,53.7,82.60644,180.2860625
Female,141.28,41.34,73.74714,165.5810419
Female,124.8,55.6,75.1508,167.939142
Male,179.55,65.47,93.78614,198.2922407
Male,170.37,80.14,97.30577,203.8476313
Male,147.09,59.4,82.64883,180.3554442
Male,175.47,92.24,103.59217,213.6470606
Male,179.51,71.78,96.34363,202.3340517
Male,184.66,71.12,97.45006,204.0742961
Female,150,61.61,84.32527,183.0922785
Female,153.14,56.27,82.99027,180.9139714
Female,145.27,64.31,84.16126,182.825132
Female,146.44,39.18,74.24574,166.4199469
Male,169.23,62.52,89.83005,191.9852904
Female,149.29,54.02,81.04657,177.7267109
Female,160.7,68.59,90.02303,192.2945359
Male,169.22,62.08,89.6483,191.6938889
Male,178.54,77.47,98.40047,205.565204
Male,153,71.48,89.14336,190.883537
Male,165.7,72.21,92.83137,196.7763017
Female,138.86,77.1,87.65532,188.4887497
Female,135.57,49.18,75.41345,168.3791571
Male,158.27,68.5,89.33759,191.1953821
Male,180.53,100.69,108.38234,221.0144233
Male,148.59,96.66,98.21415,205.2732086
Male,164.62,62.73,88.68465,190.146382
Male,171.69,65.18,91.56949,194.7667514
Female,155.38,56.2,83.55986,181.8444295
Female,163.92,68.82,90.97638,193.8198321
Female,143.58,61.51,82.57043,180.2271162
Female,163.96,64.89,89.38755,191.2755677
Male,157.96,63.22,87.10586,187.6019092
Female,150.3,68.85,87.35205,187.9994377
Female,166.37,50.55,84.19464,182.8795133
Male,170.68,84.27,99.06945,206.612474
Male,173.55,90.62,102.42019,211.8316782
Female,145.88,64.07,84.22645,182.9313318
Female,147.93,71.29,87.71234,188.5807016
Female,147.96,43.76,76.51564,170.2214891
Male,160.24,91.12,99.06992,206.6132091
Male,185.94,70.24,97.43366,204.0485376
Male,175.12,83,99.73804,207.6573685
Male,182.02,67,95.06834,200.3220044
Male,172.24,86.04,100.20636,208.3882315
Male,165.88,69.86,91.92298,195.3303802
Female,136.21,76.65,86.76462,187.0504364
Female,148.08,49.96,79.07108,174.4676764
Female,159.9,46.36,80.76182,177.2581846
Male,176.97,81.72,99.71103,207.6151904
Male,169.88,87.5,100.17046,208.332236
Male,180.63,92.13,104.92512,215.7055552
Male,169.99,64.93,91.01384,193.8796838
Female,166.02,51.23,84.37795,183.1780584
Female,146.32,64.31,84.44161,183.2816994
Male,163.08,115.18,109.62062,222.9055668
Male,179.05,71.73,96.20046,202.1085031
Female,154.43,72.23,89.83042,191.9858835
Female,151.3,68.12,87.32194,187.9508334
Female,153.41,46.39,79.0412,174.4182272
Female,154.97,70.42,89.23793,191.0353946
Female,144.32,42.22,74.91698,167.5471021
Male,163.65,91.44,100.11063,208.2389043
Male,174.61,62.65,91.31942,194.3676941
Male,172.6,107.18,108.90646,221.8155331
Male,157.52,49.18,81.2741,178.100792
Female,133.11,47.9,74.23567,166.4030179
Female,126.64,62.6,78.49108,173.5069808
Female,140.07,57.88,80.15585,176.2597468
Male,174.88,73.12,95.6528,201.2449493
Female,161.43,60.27,86.8317,187.1588862
Male,190.23,75.1,100.55711,208.9350549
Male,177.11,80.56,99.27629,206.9359182
Male,170.65,47.03,83.90476,182.4070727
Female,151.32,59.83,83.95325,182.4861291
Male,162.43,92.97,100.4076,208.7020254
Male,173.52,66.44,92.57092,196.3620959
Female,146.89,45.56,76.96255,170.966614
Female,147.41,78.43,90.47948,193.0253266
Male,164.81,90.42,100.00521,208.0744205
Female,161.95,55.73,85.12276,184.3894193
Female,3050,39.16,849.48812,1035.308325
Male,177.41,76.17,97.56966,204.2621119
Male,174.52,85.34,100.53022,208.89315
Male,163.66,71.15,91.85527,195.2224607
Male,181.62,73.81,97.73321,204.5188521
Female,153.47,64.68,86.50125,186.6244374
Female,154.53,80.57,93.2515,197.4438423
Female,157.17,53.26,82.84121,180.67021
Female,131.38,68.44,82.13354,179.5114398
Female,161.07,31.75,75.12794,167.9008267
Male,167.87,69.69,92.38512,196.0664315
Male,173.34,59.42,89.66572,191.7218249
Male,173.28,98.7,105.63666,216.8017183
Male,165.68,46.3,82.28066,179.7525454
Male,153.33,73.61,90.09838,192.4152373
Female,151.58,38.47,75.32915,168.2379719
Female,171.97,42.83,82.5478,180.190069
Female,134.92,39.84,71.43852,161.6780493
Female,150.8,71.5,88.5641,189.952498
Female,132.54,60.02,79.01632,174.377049
Male,160.86,93.33,100.13493,208.2768127
Male,171.87,101.19,106.27362,217.7814223
Female,142.3,60.44,81.79318,178.953231
Female,164.88,50.62,83.8253,182.2774991
Female,167.53,45.83,82.58332,180.2482172
Female,126.23,54.74,75.18259,167.99242
Male,169.76,57.93,88.10343,189.2109806
Male,170.41,95.04,103.38075,213.3199548
Male,173.6,66.58,92.64926,196.4867143
Female,148.7,66.33,85.89921,185.649422
Female,141.16,68.23,84.65933,183.6360085
Female,140.48,45.18,75.09642,167.8479917
Female,168.46,37.38,79.39248,174.9992753
Male,155.98,74.85,91.31061,194.3536303
Female,135.67,59.73,79.734,175.5635637
Female,138.57,66.35,83.20264,181.2610761
Female,161.53,58.2,86.01591,185.838553
Male,164.95,59.01,87.25872,187.8487686
Female,134.36,63.06,80.73954,177.2215078
Female,152.38,50.98,80.63432,177.0482629
Male,189.78,65,96.32626,202.3066916
Male,182.59,69.32,96.16477,202.0522644
Male,172.7,80.48,98.06626,205.041341
Male,146.7,87.72,94.07094,198.7436845
Male,154.77,73.45,90.41774,192.926533
Female,151.98,78.55,91.74851,195.0522611
Female,144.22,77.71,89.33471,191.1907593
